ஏன் இந்த திடீர் ஹேஷ்டேக்	why this sudden emphasis
இது CNBC க்காக கான் அகெடமியின் சல்மான் கான் தயாரித்தது	this is salman khan of khanacademy for cnbc
பக்கவிளைவு இல்லாத சமையல்	unconvectional cooking
ஆனால் இந்த தொற்றுநோயை நீங்கள் முன்னெப்போதும் இல்லாத ஒரு சூழ்நிலையாக கருத வேண்டும்	but you have to treat this pandemic as a situation that is unprecedented
கொள்கை இருக்கு	there is a policy
இதுபற்றி போலீசார் விசாரணை நடத்தினார்கள்	police investigated the matter
25 லட்சம் தான் வசூல் செய்துள்ளது	25 lakh has been recovered
அவனுடைய மரணத்துக்குப் பின்பும்கூட ஆதாம் எங்குமே இல்லாதிருக்கும் அதே நிலைக்குத் திரும்பினான்	after his death adam returned to the same state of nonexistence
அந்த நம்பிக்கை இதுவரை பொய்த்ததில்லை	that hope never materialised
ஒரு போர்வீரன் கையிலுள்ள அடையாளக் கருவியாக அது இனிமேலும் இல்லை	how thankful we can be to our creator for granting humans the ability to invent such musical instruments as the trumpet
ஏனோ அதை நான் செய்யவில்லை	i didnt do any of that
இருவரும் ஒன்றாக வெளியில் சுற்றும் புகைப்படங்களை தங்களது சமூகவலைதளப் பக்கங்களில் வெளியிட்டு வருகின்றனர்	the photos are posted by the couple on their social media pages
பையன்கள் ஒன்றும் பேசவில்லை	no talking to boys
இடைத்தரகர் களை நம்பவேண்டாம்	dont trust brokerages
அன்றியும் அவனே லூத் சமூகத்தார் வாழ்ந்திருந்த ஊர்களான முஃதஃபிகாவையும் அழித்தான்	it is he who turned upside down the people of lot
அதோடு கொசுக்கடியில் இருந்து தப்பவும் இது உதவுகிறது	it also helps in getting rid of dandruff
கேரளாவில் பிறந்து வளர்ந்தவர்	she was born in kerala
உதாரனத்திற்கு	for instance
பாடுவது இவருக்கு ரொம்ப பிடிக்குமாம்	she also loves to sing
இது நமது அடுத்த தலைப்புடன் தொடர்புடையது தகவல் வழங்குவது மற்றும் மாதிரியமைத்தல் ஆகியவற்றை வழங்குகிறது	and that relates us to our next topic presenting information and modelling
பதில் இரண்டும் இல்லை	a neither of the two
இந்த கொரிய நிறுவனத்தின் மற்றொரு சிறந்த விற்பனை மாடல் கார் எலைட் ஐ20 ப்ரீமியம் ஹேட்ச்பேக்	however the bestselling model for the korean brand in india is the elite i20 premium hatchback
அவனது மனைவி இருந்தார்	my wife was with him
உலகக்கிண்ணம்	world over
என்ன வேண்டும்	what do you want
அதன் பிறகு சகோதரர் ஃப்ரான்ஸ் நம் வேலையைத் தலைமைதாங்கி நடத்தினார்	thereafter brother franz took the lead in our work
ஏது ஏது ரொம்ப ஏகத்தாளமா பேசுறியே	what are you talking about
இதனால் நாட்டில் பதற்றமான சூழல் ஏற்பட்டுள்ளது	this has created an alarming situation in the country
உலக கோப்பை வெல்லுமா இந்தியா	india will win the world cup
இதுதொடர்பான விசாரணையை சந்திக்க நான் தயார்	i am ready for investigation
அந்த வீடியோ தற்போது வைரலாக பரவி வருகிறது	now this video is going viral by the day
உரலில் அவல் இடித்து மாநில அரசைக் கண்டித்து விவசாயிகள் நூதனப் போராட்டம்	farmers shouted protest against the government
இந்த மசோதாவிற்கு தி மு க காங்கிரஸ் உள்ளிட்ட எதிர்க்கட்சிகள் கடும் கண்டனம் தெரிவித்து வருகின்றன	opposition parties including the congress aimim and the trinamool congress are against the bill
கொஞ்சம் சூதானமாத்தான் நடந்துக்கணும்	be a little easygoing
ஆனால் நான் இன்னும் நிறைய படங்களை இயக்கியிருக்க வேண்டும்	but definitely ill do more films
முதல் மகன் போகிறேன் என்று சொல்லி போகவில்லை	why was this effective christian counsel is always bible based
பெங்களூர் கர்நாடக மாநிலம் பெங்களூரில் பல இடங்களில் மழை பெய்து வருகிறது	bengaluru several parts of karnataka are reeling under floods since the advent of the monsoons
உடைக்கப்பட்ட ஜன்னல்கள்	broken window panes
சபரிமலை தீர்ப்பிற்கு எதிராக மேல்முறையீடு இல்லை தேவசம் போர்டு அறிவிப்பு	sabarimala verdict no consensus on filing review petition
தொடர்ந்து சோடஷ தீபாராதனை நடைபெற்ற பின்னர் பக்தர்களுக்கு பிரசாதம் வழங்கப்பட்டது	after the utsava prasada was distributed to the devotees
அங்கு ஆபத்தான நிலையில் அவர் சிகிச்சைப் பெற்று வருவதாகத் தகவல்கள் தெரிவிக்கின்றன	he is reportedly in a serious condition
இந்தியாவுக்கு அதிரடி வெற்றி	indias success
அவர்களுக்கு லவ் வந்துச்சா வரலியா	do they fall in love
32 தொலைந்தது கிடைத்தது	32 finding what was lost
மூர்த்தியின் பெற்றோர் கர்நாடக மாநிலத்தைச் சேர்ந்தவர்கள்	murthys parents are originally from karnataka
மருத்துவ மேற்பார்வையாளர் டாக்டர் பாபாசஹேப் அம்பேத்கர் மருத்துவமனை மற்றும் ஆராய்ச்சி மையம்	the medical superintendent dr babasaheb ambedkar hospital research centre
கெனோஷா கோஸ்ட் கார்ட் ஸ்டேஷன்	kenosha coast guard station
அதற்குள் தீ வேகமாக பரவியது	the fire spread rapidly
காங்கிரசில் இருக்கும் ஜனநாயகக் கட்சியினர் CBO கருத்துக்களை மறுக்கவில்லை	congressional democrats did not dispute the cbos findings
ஜமால் கஷோகி துருக்கி தூதரகத்தின் உள்ளே கொல்லப்பட்டதை சவூதி அரேபியா ஒப்புக்கொண்டது உண்மையின் பக்கம்	turkey finds journalist jamal khashoggi killed in saudi consulate
உங்களின் கருத்தைக் கேட்டோம்	we heard your feedback
தொடர்ந்து பல்வேறு வளர்ச்சி பணிகள் நடைபெற்றன	different development initiatives were taken up
அரசாங்க அலுவலர் முற்பணக் கணக்கு இணக்கக் கூற்று 2014	reconciliation of public officers advance account 2014
அது பற்றியும் சொன்னேன்	i had said this too
இந்த மக்களவைத் தேர்தலில் பாஜக தோல்வி அடையும் என்று கூறினார்	bjp will win in these elections
இக்கோரிக்கையை அதிகாரிகள் மறுத்துவிட்டதாக கூறப்படுகிறது	the officials said the request was turned down by the authorities
அது குறைய வேண்டும் என்றாரவர்	it should be reduced
அமைதியா இருப்பாங்க தானே	be calm
வரும் ஆண்டு மகிழ்ச்சியையும் செழிப்பையும் அளிக்கட்டும்	may the coming year bring joy and prosperity
நாடெங்கும் செய்தி பரவியது	the news has spread everywhere
அன்பான சில வார்த்தைகளே அல்லது சிந்தனையுள்ள செயல்களே பெரும்பாலும் தேவைப்படுகின்றன	what a precious privilege it is to be part of a worldwide family of brothers and sisters
அதிகபட்சமாக 35 டிகிரி செல்சியஸ் வெப்பம் பதிவாகும்	maximum temperature is likely to settle at 35 degrees celsius
யார் அந்த கண்டாகர்ணன்	who is that gentleman
இந்தியாவை எச்சரித்த பாக்	indias stern warning to pak
அவர்களை யாரும் தடுக்கவில்லை	no one stopped them
ஆனாலும் தீயை கட்டுக்குள் கொண்டுவர முடியவில்லை	but the fire didnt catch
நாங்கள் வெவ்வேறு மதத்தை சேர்ந்தவர்கள்	we are from different religions
உலகத் தொழிலாள வர்க்கம் பூகோளமயமாதலைத் தமது கட்டுப்பாட்டில் எடுக்கும் வரையில் நாம் என்ன செய்ய வேண்டும்	what should we do until the worlds working class takes control of globalization
ஷங்கர் இயக்கத்தில் சூப்பர் ஸ்டார் ரஜினிகாந்த் நடித்து வரும் படம் 20 இந்த படத்தின் படப்பிடிப்பு தற்போது சென்னையில் நடந்து வருகிறது	rajinikanth s 20 is directed by shankar
கே என்னா வேண்டும்	q what needs to be done
13 லட்சம் தேவை	13 million people
இவர் முன்னாள் எம் பி ஒருவரின் தம்பியாவார்	his brother was a former mp
அவை எல்லாம் மிகவும் நன்றாக இருந்தன	they were all very good
அதனால் நான் அவரை நம்பினேன்	i believed in him
இரவு பகல் கிடையாது	neither night nor day
ஆனால் அவர்களின் பக்கம் உண்மை நியாயம் இருக்குமானால் வழி பட்டவர்களாக அவரிடம் வருகிறார்கள்	but if right had been with them they would have come unto him willingly
ஐசுவரியத்தையும் சம்பத்தையும் கனத்தையும் உனக்குத் தருவேன்	do our prayers disclose our thirst for knowledge wisdom and discernment
இழக்க வேண்டும் நான்	am i lost
நான் ரொம்பவே நொந்து போயிருக்கேன்…	i am very spoiled
கத்தவும் தொடங்கினேன்	i began cursing
திருத்தி காட்சியில் காட்டப்படும் புத்தகக்குறி விவரம் பட்டியலில் சரியான மதிப்புகள் address மற்றும் title	the bookmark information shown in the editor view valid values in the list are address and title
எனினும் கும்பல் ஓடித் தப்பித்தது	the gang however managed to escape
இதுவொரு அரிய சந்தர்ப்பம் நழுவ விடாதீர்கள்	make use of this golden opportunity and enjoy the films
மருத்துவமனைக்கு கொண்டு செல்லும் வழியில் பாலசுப்ரமணி உயிரிழந்தாா்	on the way to the hospital balayya died
விலை எதுவும் குறிப்பிடவில்லை	price not stated
அது ஒரு பெருவலிதான்	it is a biggie
அதிரடியாக வென்ற உ பி	up victorious
எனவே மற்ற இளைஞர்கள் ​ ⁠ அவர்கள் கிறிஸ்தவர்களாக இல்லாவிட்டாலும் ​ ⁠ உங்கள் மீதே நம்பிக்கை வைக்க விரும்பலாம்	so other young ones including unbelievers may very well want to confide in you
யாரும் ஓடவும் முடியாது	no one can run away
நான் இந்தியாவுக்கு பலமுறை வந்துள்ளேன்	i will come to india
சாத்தான் இருக்கிறான் என்றே நிறையப் பேர் நம்புவதில்லை	keep the real enemy in mind who is to blame for present world conditions
இதே செயல் அசாமிலும் நடந்தது	a similar incident happened in assam too
மனித உயிர் மிகவும் நிச்சயமற்றது	the reality of death however forces us to think about it sooner or later
காலைக்காற்று குளிருடன் இருந்தது	the morning was cold
மனம்விட்டு பேச நினைத்தால் முதல் வரும் முட்டுக்கட்டை பயம்	in such cases honest communication and thoughtful planning for the future are needed as never before
தற்காலிக மருத்துவமனை	temporary hospitals
கதவும் மூடப்பட்டது	door closed
தொடர்ந்து சண்டை நடைபெற்று வருகிறது	the fight has to continue
இந்த மரத்தை வெட்டாமல் விடுகிறேன்	dont cut down that tree
மனதை தொட்ட தள்ளுவண்டி	mind bender
அவர் தூக்கிலிட்டு கொல்லப்பட்டார்	he was shot and killed
அருணின் தந்தை ஒரு விவசாயி	his father is an agriculturist
இண்டைக்கு நடந்ததை சொல்லுறன்	let me tell you what transpired
மற்ற அரங்குகள்	other platforms
புரிந்து கொள்வதற்கு மிகவும் சிரமமாக இருக்கிறதே	is that so hard to understand
அவனே காதலன்	he is love
ஒவ்வொரு அணிக்கும் 11 வீரா்கள் களம் இறங்கினா்	each team plays with 11 players
அதில் எங்களுக்கு விருப்பம் கிடையாது	we dont want that
அவையெல்லாம் இனி உன்னுடையனவே	theyre all for you
ஆளும் காங்கிரஸ் ஆட்சியை தக்க வைக்குமா	will the congress retain power in the state
எதில் தெரியுமா	what do you know
எருக்கள் உபகரணங்கள்	erusian equipment
தனது கிராமத்தை விட்டு முதல் முறையாக வெளியே செல்கிறாள்	first time ever going out of her village
தோழிகளுடன் அரட்டை	conversations with friends
அவருக்கு பல கனவுகள் இருந்தன	he had so many dreams
எங்கே போகிறீர்கள் என்று மன்னர் கேட்டார்	where wilt thou go
இதற்குத்தான் நாங்கள் முக்கியத்துவம் அளிக்கவுள்ளோம்	thats what were going to focus on
தற்போது இந்த படத்தின் ஷூட்டிங் வட சென்னையில் எடுக்கப்பட்டு வருகிறது	shooting for the film is currently ongoing in chennai
வெண்ணந்தூர்ஏரி வெண்ணந்தூருக்கு அருகில் மேற்கே அமைந்துள்ளது	vennandur lake is located west of the town
என்ன பண்றதுனே தெரியல	i dont know what
குறையாத காதல்	unconditional love
ஆனாலும் குடும்பத்தில் பல்வேறு குழப்பங்கள் ஏற்படுகிறது	however a dispute has arisen in the family
அன்புமணி இதுபோல செய்யலாமா	can you do so
அருகமைந்த கண்ணூர் பன்னாட்டு வானூர்தி நிலையம் எழிமலைக்கு தென்கிழக்கே 60 கிமீ தொலைவில் உள்ளது	the nearest airport is kannur international airport which is about 60 km south east of ezhimala
அதை தமிழக அரசு ஏற்க மறுக்கிறது	the tamil nadu government had refused to allow this
உள்ளாட்சித் தேர்தல்	local elections
இனி இங்கிருக்க என்னால் இயலாது என்றான்	i cant stay here forever
கடந்த மாதம் படத்தின் பர்ஸ்ட் லுக் வெளியாகி ரசிகர்களிடையே மாபெரும் வரவேற்பைப் பெற்றது	the first look of the film was unveiled last month and has been wellreceived by the audience
காங்கிரஸ்காரங்க போக்கு எனக்குப் பிடிக்கலே	im not like congress
நயன்தாராவுடன்	with nithyananda
எனினும் இந்த தீர்மானம் மீது ஆளுநர் எந்த நடவடிக்கையும் எடுக்கவில்லை	however the government has not taken a decision in this regard
அதற்கு கடவுளின் வீடு என்று அர்த்தம்	but a thousand years later the prophet hosea called the city the house of hurtfulness
இது ஒரு மரவாழ் பறவையாகும்	it too was a disaster
இதைத் தொடா்ந்து இரு தரப்பினருக்கும் இடையே வாக்குவாதம் ஏற்பட்டது	this led to a dispute between the two parties
இந்தியா பாகிஸ்தான் அணிகளுக்கு இடையிலானப் போட்டியில் டாஸ் வென்ற இந்தியா முதலில் பேட் செய்ய முடிவு எடுத்துள்ளது	in the match against pakistan india won the toss and opted to bat first
மீதமுள்ள பணிமனைகள் விரைவில் கட்டப்பட்டு திறக்கப்படும்	remaining will be constructed and inaugurated soon
விளையாட்டில் இவர் திறனுடன் விளங்கினார்	he appears in the first game
அந்த நேரம் எனக்கு மிகவும் பதற்றமானவை	those were very anxious moments for me
ஆந்திர அரசு ரூ	andhra government to disburse rs
அந்த பகுதியில் பதுங்கியிருந்த அவரை போலீசார் மடக்கி பிடித்தனர்	the police set a trap in the area and arrested him
அனைவருக்கும் தம்மை அழகாகவும் இளமையாகவும் காட்டிக் கொள்ள விருப்பம் இருக்கும்	every woman wants to look young and beautiful
ஸ்டார் ஸ்போர்ட்ஸ் டெலிவிசனில் நேரடியாக ஒளிபரப்பு செய்யப்படுகிறது	the match will be broadcasted live on stars sports
நயனின் அதிரடி தொடர்ந்தால் தமிழ் ரசிகர்கள் புதியதொரு கோயிலுக்கு பிளான் தயார் செய்ய வேண்டிவரும்	making a movie of karunanidhis life would be absorbing and not tedium to watch
கருப்பட்டி – 2 கப்	milk 2 cups
விபத்துதான்	the accident
சம்பவம் தொடர்பில் மேலும் தெரியவரவதாவது	more about the incident
இதில் பல்வேறு இடங்களில் வன்முறை ஏற்பட்டது	riots took place in many places
எங்கேயும் இல்லை…	there is no place
இதில் போட்டிநேர முடிவில் இரண்டு அணிகளும் 11 என்று சமநிலையில் காணப்பட்டதால் பெனால்டி வாய்ப்பு வழங்கப்பட்டது	at the end of the match both teams were drawn 11
மலையாள நடிகர் ஸ்ரீனிவாசன் திரைக்கதையில் உருவாகி பல்வேறு விருதுகள் பெற்ற படம் வடக்கு நோக்கி எந்திரம்	vadakku nokki endhiram with its screenplay by malayalam actor srinivasan has received several awards
யாரும் எங்களை ஒருவருக்கொருவர் அறிமுகம் செய்து வைக்கவில்லை	nobody introduced each other
சந்தைகள் ஏற்படுத்தி பராமரித்தல்	opening and maintenance of public markets
ஆறுதல் வெற்றிபெற்றது பாகிஸ்தான்	pakistan win
இதனால் இந்திய அணி தத்தளித்தது	team india has done it
இந்நிலையில்தான் உங்கள் பிரச்னைகளை கேட்க நான் வந்திருக்கிறேன்	i am here to listen to your problems
இது முக்கியமான குணமாகும்	this is a major ailment
தனிப்பட்ட தகவல்கள்	personal information
அள்ள அள்ள பணம்	the money
ஹரியானாவில் மனோகர் லால் கட்டால் தலைமையிலான பாஜக ஆட்சி செய்து வருகிறது	haryana is currently ruled by the manohar lal khattarled bjp government
மூச்சும் காட்டக்கூடாது	dont hold your breath
அது மாத்திரமன்றி யாழ்	its not only jugaad
இது சிரிப்பதற்கு இல்லை	its no laughing matter
இதில் ஐ சி யு எனப்படும் தீவிர சிகிச்சை பிரிவில் 250 படுக்கை வசதி உள்ளது	it has 250 beds of icu
தமிழகத்தில் தேர்தல் எப்போது வந்தாலும் சந்திக்க தயாராக உள்ளோம் என்றார்	i am ready to contest in tamil nadu assembly elections whenever they are conducted
சூப்பர் ஸ்டார் ரஜினிகாந்த் நடித்து வெளியான இந்தப் படத்தின் இயக்குனர் சுரேஷ் கிருஷ்ணா	the film was directed by suresh krishna
முதலாவதாக அவர் சர்வலோக பேரரசராக இருப்பதன் காரணமாக	why do we owe our maker jehovah god subjection
பக்கம் 31 ன் படங்கள்	picture on page 31
இயேசு தம்முடைய தகப்பனிடம் ஜெபம் செய்தபோது என்ன சொன்னார் தெரியுமா	note what jesus said in a prayer to his father this means everlasting life their taking in knowledge of you the only true god
இது அவுட்டாக இருக்காது என்றே எண்ணினர்	i dont think its going to happen
அவர்களுக்கு ஒன்றைச் சொல்லிக்கொள்ள விரும்புகிறேன்	i just say one thing to them
இந்துக்களால் கொண்டாடப்படும் பண்டிகைகளில் முக்கியமானது தீபாவளி	diwali or deepavali is one of the most important hindu festivals
இதனால் எங்கள்	consequently we
கடவுச்சொல் திறன் குறைவுOpposite to Back	low password strength
நாங்களும் அதையெல்லாம் கடந்துதான் வந்திருக்கோம்	weve all gone through it
இந்த சம்பவத்தில் கைது செய்யப்பட்ட நான்கு பேர் மீதும் குண்டர் சட்டம் பாய்ந்துள்ளது	all four accused in the incident have been arrested
சத்தியத்தை நிராகரிப்போரே உங்களுக்கு என்ன நேர்ந்தது இரு சாராரும் சமமென எவ்வாறு நீங்கள் தீர்ப்புச் செய்கிறீர்கள்	what is the matter with you how judge ye
தனுஷ் பிரபலமான நடிகர்	popular tamil actor dhanush
அவள் முகத்தை நான் பார்க்கவேயில்லை	i didnt see his face
மக்களுக்கு சேவை செய்வது தான் அரசியல்	politics is for serving people
என்னத்துக்குக் கேட்கிறாய்	what did you ask
குடும்பத்தில் சந்தோஷமான நிலை காணப்படும்	there will be a happy situation in the family
பசி இல்லையென்றால் பசிக்கும் வரை காத்திருங்கள்	dont wait until you feel hungry
இச் சந்திப்பானது நேற்றைய மாலை ஜனாதிபதி செயலகத்தில் இடம்பெற்றுள்ளது	the meeting was held at the presidents office
படுக்கையின் கீழே காணப்படும் அந்த தாவணியை உங்களால் பார்க்க முடிகிறது	you can look at the scarf at the bottom of the bed
ஆகவே மன சமாதானத்தோடு நான் தலைநகரம் திரும்பினேன்	he was so happy to see me healthy that he bought a fine house for me in the capital where i now live
6 லட்சத்துக்கு ஏலம் எடுக்கப்பட்டது	6 crores
இந்நிலையில் நான் என்ன செய்வது	then what should i do
விபத்து தொடர்பாக பஸ் டிரைவர்	bus driver dies in mishap
முதலமைச்சர் தொடர்ந்து தெரிவிக்கையில்	the prime minister said
அப்போதும் அவரை சென்று பார்க்க முடியவில்லை	he could no longer be seen
ஊர் என்பது வெறும் ஊர் மட்டுமல்ல	its not just the villages
அதான் மயங்­கிட்டே	that is it
பிறகு நானே அதை எல்லாம் தேடி கேட்க ஆரம்பிச்சேன்	then i started questioning myself
இது எனக்கு மிகவும் மனவருத்தத்தை அளித்துள்ளது	thats why i am very sad
உத்தரப் பிரதேசம் கன்னவ்ஜ் மாவட்டத்தில் உள்ள அரசு மருத்துவமனையில் இந்த சோக சம்பவம் நடந்துள்ளது	the incident took place at the government general hospital in anantapur andhra pradesh
என்று சிடுசிடுத்தாள்	she quipped
1000 வழங்கப்படும் என்றும்	1000 will also be available
ஆட்டம் மழையால் பாதிக்க சிறிது வாய்ப்புள்ளது	the match might get affected due to rain
இதை மீறுபவர்களுக்கு தண்டனையாக குறைந்தபட்சம் ரூ	violators of the order shall be penalized up to rs
என்னைத் தவிர்க்க இயலாது எவரும்	no one can prevent me
ரஷ்ய ாவில்தான் இந்தக் கூத்து நடந்துள்ளது	the incident happened in russia
அன்றைய கூட்டத்தில் தேர்தல் தேதி முடிவு செய்யப்படுமாம்	a decision on the date of election will be taken during that meeting
உனக்கென உருவாக்கிக் கொண்டாயே	made for you
Also Read ரஞ்சி தொடரின் அரையிறுதிக்கு முன்னேறிய 4 அணிகள்	also read chennaiyin enter playoffs
அதற்கு அனைவரும் ஒத்துழைப்பு அளிக்க வேண்டும்	for this the cooperation of all is needed
வேலையும் சம்பளமும்	jobs and wages
பொலிசார் இதற்கு அனுமதிக்கவில்லை	police didnt allow
மனதை அன்புமயமாக்கு	make love
இது போன்ற உறவுதான் எங்களுக்குள் இருந்தது	such was our relationship
உயிரே போய்விடும்போல் அல்லவா இருக்கிறது	isnt life like that
மேலும் இந்தியப் பிரதமர் நரேந்திர மோடியை நாங்கள் விரைவில் சந்திப்போம்	i will soon meet prime minister narendra modi
மக்களிடையே பல கேள்விகளை எழுப்பியுள்ளன	people are raising many questions
யூதர்களால் ஜெர்மனி அதன் உன்னதத்தை இழந்தது	during that argument they lose jerry
நான் அரசியலுக்காகப் பேசுகின்றேன் என்று நினைக்க வேண்டாம்	i am not talking politically
ஹாரிஸ் ஜெயராஜ் இசை அமைத்திருந்தார்	music composer harris jayaraj
இதை பாருங்க	check this out
சிசு இறப்புவீதம் குறைந்தது	child death ratio has been minimised
எதனால் இப்படி ஏற்பட்டது என்று யாரும் கவனிப்பதும் இல்லை	nobody is asking why this happened
மதியம் சற்றே தூங்கினேன்	in the afternoon i slept
எனக்கு கடவுள் பக்தி உண்டு	i have faith in god
எம்ஏபிஐ அடைவு s ஐ மாற்றுப்பெயர் இட முடியாது அடைவு இருப்பில் இல்லை	cannot rename mapi folder s folder does not exist
மேலும் வானம் அவனே அதை உயர்த்தித் தராசையும் ஏற்படுத்தினான்	he raised the heaven high and set up the balance
இதற்கான சுவரொட்டிகளும் காணொலிகளும் விரைவில் வெளியிடப்படும்	for this posters and videos would be released soon
அதில் ஒன்று விவசாயிகளின் எதிர்காலம் குறித்த கேள்வி மற்றொன்று இளைஞர்களுக்கான வேலைவாய்ப்பு	one is the issue of the farmers and the other is the issue of jobs for youth
சாலை ஓரங்களில் நீர் தேங்கி போக்குவரத்து நெரிசல் ஏற்பட்டதால் வாகன ஓட்டிகள் கடும் அவதி அடைந்தனர்	motorists faced inconvenience as water flooded the roads
இவை அனைத்துமே அவசியமான விடயமாகும்	these are all important
பிசாசு என்ன நோக்கத்திற்காக இப்படிப்பட்ட கஷ்டமான சூழ்நிலைகளை கொண்டு வருகிறான்	what is the devils objective in causing these hard conditions
இயக்குனர் ராம்கோபால் வர்மா இவர் தமிழ் தெலுங்கு ஹிந்தி மூன்று மொழிகளிலும் கால் பதித்தவர்	ram gopal varma made the biopic on veerappan in hindi telugu and tamil languages
362 கோடி வந்ததா	362 crore
அதைச் சொல்லலாமா	can i say it
இதனால் கஷ்டத்தில் உள்ளோம்	we are in trouble
சட்டென்று புரிந்து கொன்டார்	i understood immediately
காற்றையும் எதிர்த்தாய்	against the wind
எவர் எதை கற்றுக்கொள்ள முடியும்	what can you learn
அத்தகைய ஒற்றுமையை ஊக்குவித்து வளர்க்கும் காரணிகள் யாவை	how might the unity of jehovahs worldwide family be described
அப்படின்னா	is that so
அவன் வெற்றி பெற்றான்	he deserved to win
சிங்கப்பூர் ஆறு பல்வேறு இனக்குழுக்களைச் சேர்ந்த வணிகர்களும் வங்கியாளர்களும் நிறைந்த பகுதியாக விளங்கியது	change to singapore is six and many caste peoples and business men living place
எனவே அங்கு செல்வது எனக்கு மிகுந்த மகிழ்ச்சியைத் தருகிறது	so i am very happy with that
கிடைப்பதை பெற்றுக் கொண்டு தொடர்ந்து போராடுவோம்	we will fight till we get it
புள்ளி விவரத்தை காலி செய்யவும்	clear all statistics
இது இரண்டாவது தடவை	this is the second time
தாவீதின் நகரம்	gate of the ash heaps
அவன் கையில் பெரிய இரும்புத்தடி இருந்தது	he had a big weapon in his hand
அது சிவப்பு நிறத்தில் இருக்கும்	it is red in colour
எனக்கு அவர்களை ரொம்ப பிடிக்கும் என்றார்	i like them a lot
அந்தப் பகுதியில் உள்ள சிசிடிவிக்களில் பதிவான காட்சிகளையும் போலீசார் ஆய்வு செய்து வருகின்றனர்	the police are also looking at the cctv footage in the area
எங்களிடமிருந்த அச்சு இயந்திரங்களில் பெரும்பாலானவை பழையதாக இருந்தன	much of the printing equipment we had was secondhand
அவளின் சொந்த பந்தமும் கூட இல்லை	she not have her own game
இந்தியா இப்போட்டியில் முதன்முதலாக வெள்ளிப் பதக்கம் பெற்றது	he was the first indian to win this prize
இதில் யாரெல்லாம் சம்மந்தப்பட்டு உள்ளனர்	who all are involved
தனிப்பயன் அட்டவணை கோப்பு வடிவமைப்பில் உதவி	help on custom catalog file format
பாகிஸ்தான் 15 வயது நிரம்பிய இந்து சிறுமியை கடத்தி கட்டாய மதம் மாற்றம் செய்து திருமணம் செய்த கொடூரம்	london protest over abduction conversion of 15yrold hindu girl in pakistan
தக்க நடவடிக்கை எடுக்க வேண்டும்	it must take appropriate action
அது பூமி கடவுள் கையா மீது படட்டதால் அவர் கருத்தரித்தார்	the era when the earth guru was still honoured
ஆராதனை செய்திட அருளப்பா	happy praying
ீட்டை க 1 நீக்கு	remove entry 1
போனை வைத்து விட்டான்	he put away his phone
5 கோடியை மாவட்ட கலெக்டரிடம் செலுத்த வேண்டும்	5 crores per district
கருதினேன்	i thought
உலகம் குழப்பத்தில் ஆழந்திருந்தபோது	when the world goes wacky
சமரச திட்டம்	retribution plan
இருவரும் பத்மாவத் பஜிரோ மஸ்தானி என படங்களில் ஒன்றாக இணைந்து நடித்தனர்	theyve worked together on two other films padmaavat and bajirao mastani
பிரிட்டனின் வளைகரடி ​ கானகத்தின் ஜமீன்தார்	britains badger lord of the woodlands
தி மு க வுக்கு எந்த விருப்பமுமில்லை	the dmk is not taking any chances
காற்றில் அசையும்	flailing in the wind
என்னை கைது செய்தார்கள்	i was caught
கண்காணிகள் கட்டாயம் பைபிள் வாசிக்க வேண்டும்	3 4 what did jehovah require of israels kings and what reasons for this requirement apply also to christian elders today
அதுதான் இன்றைய தமிழகத்தின் நிலைமை	this is the situation in tamil nadu
காயம் எளிதானதல்ல ஆனால் பொறுமை முக்கியமானது	injuries are not easy but being patient is important
மற்றோா் குழந்தை சாவு	death of an infant
ப்ரோசஸ்ஸர் பேட்டரி மற்றும் மெமரி	processor memory and battery
என்பது குறித்து நகரமைப்புத் துறையினர் விசாரிக்க துவங்கினர்	the city police has started investigations in the matter
பின்னர் இதனுடன் கரு வேப்பிலை பச்சை மிளகாயை பொடியாக நறுக்கி சேர்க்க வேண்டும்	then add the green chillies and ginger garlic paste
ஆண்ட்ராய்ட் ஓரியோ இயங்கு தளத்தில் இயங்கும் இந்த போனின் ப்ரோசஸ்ஸார் க்வால்கோம் ஸ்னாப்ட்ராகன் 425427 ஆகும்	the phone is powered by the snapdragon 425 processor and runs stock version of android nougat
எலும்பு கால்சியத்தைக் கிரகிக்க வைட்டமின் டி உதவுகிறது	vitamin d helps calcium in its boneshoring work
செல்போனிலும் லைன் கிடைக்கவில்லை	there is no landline telephone
நேயர் ஆதரவளிக்கப்பட்ட ஊடகம்	audience supported media
இந்தத் தேசியப் பூங்காவானது 105 சதுர கிலோமீட்டர்கள் பரப்பளவில் அமைந்துள்ளது	there were 105 snowflakeshaped suncatchers on the tree
ஏனெனில் இது சட்டத்திற்கு புறம்பானது	hence it is illegal
இதற்கு முற்று புள்ளி வைக்க வேண்டும்	this should be put to an end
மேலும் ரசிகர்களை காக்க வைத்ததற்கு மன்னிப்பும் கேட்டுள்ளது	he has also sought forgiveness from his fans
நீ ஷத்ரியனா	are you hind
இந்தப் படத்தின் பரபர ட்ரெய்லர் ரிலீஸ் ஆகியிருக்கிறது	the trailer of the film was published
புன்னகைத்து வைத்தேன்	i smiled
