எவரையும் அவர் தூற்றிப்பாடியது கிடையாது	he didnt spare anyone
இதுவே இங்கு பிரதான கேள்வி	that is the big question here
இதுதான் எங்களால் முடியும்	thats all we can do
அதைப்போல் இந்த குழந்தைக்கு எந்த அசம்பாவிதமும் ஏற்படாது எனக் கூறினார்	no baby was injured in the incident
இத்தகைய பயம் நல்லதே ஆகும்	this fear is good
சம்பவம் குறித்து பொலிஸார் தீவிர விசாரணைகளை முன்னெடுத்து வருகின்றார்கள்	police are actively investigating the incident
ஆகவே அவன் விரைந்து செயலாற்றினான்	so he moved fast
பிரஷ்ஷை 45 டிகிரி கோணத்தில் பிடிக்கவும்	keep your elbows about 45 degree angle
இந்த விபத்து இடம்பெற்ற சம்பவ இடத்திற்குச் சென்ற பொலிஸார் மேலதிக விசாரணைகளை மேற்கொண்டு வருகின்றனர்	police are carrying out further investigation into the incident
இதனால் இனப்போர் எழுந்தது	this resulted in a quarrel
உழைப்பின்றி ஊதியமா	working without pay
நாம் குருதிநிகர் கொள்வோம் என்றான்	we will give them blood
சில நாட்களுக்குப் பிறகு மற்ற அரசு நிறுவனங்களைப் போலவே ரெயில்வே துறையை விற்கத் தொடங்கும்	after a few days just like other government entities this government will start selling of railways as well
சொல்றியே எப்படி	how is it that
அது வேறொரு வகைமைத் திரைப்படம்	its a different film
கேரளாவில் பதற்றம்	anger in kerala
புத்தம் புது சீரியல்கள்	new serial
போலீஸ் வேலையில் சேரணும் என்பது அவனோட கனவு	it was his ambition to join the police department
இது அரசின் கடமை	it is the duty of the government
திறன் மேம்படுத்துதல்	ii capacity building
நீங்கள் நிபுணராக இருக்கும் களத்தை அடையாளம் காணுங்கள்	find an area that makes you an expert
அடுத்த கட்ட நாடகம்	next episode
நான்கு பேர் கொல்லப்பட்டனர்	four people were killed
லடாக் யூனியன் பிரதேசத்திற்கு சட்டமன்றம் இருக்காது	the union territory of ladakh will not have a legislative assembly
மதம் மற்றும் சாதி விஷயங்களில் எந்த அரசாங்கமும் தலையிடக் கூடாது	government and politicians should not interfere in matters of religion and caste
மக்கள்தான் இறுதி எஜமானர்கள்	people are the ultimate arbitrators
எளிமையான ஆங்கிலப் பதிப்பு	introducing the simplified english edition
எல்லாருக்கும் ஜெஸியை பிடிக்கும் என மானேஜர் ஒருவர் கூறினார்	everyone loved jesse said one manager
ஆங்கிலேயர் அரக்கானின் தலைநகராக அக்கான் இப்போது சிட்வே நகரை ஆக்கினர்	the british made akyab now sittwe the capital of arakan
புதிய முயற்சிகள் எடுக்காதீங்க	dont start new ventures
அவர்கள் பயத்தில் சிதறி ஓடினர்	they got scared
இதில் கார் கண்ணாடிகள் உடைந்து சிதறின	windowpanes of cars were broken
எந்த கோயில்	which church
இதனால் வைரஸ் பரவாமல் தடுப்பதற்காக ஊரடங்கு உத்தரவு அமலில் உள்ளது	curfew is implemented to control the virus spread
போலீசார் சம்பவ இடத்தில் சிசிடிவி கேமரா பதிவுகளை ஆய்வு செய்தனர்	accordingly police scrutinised the cctv camera footage from the spot
அதனால் எனக்கு பழக்கம் ஏற்பட்டது	so i was used to it
இரு தலைவர்களும் பல்வேறு இருதரப்பு மற்றும் சர்வதேச பிரச்சினைகள் குறித்து விவாதித்தனர்	the two leaders discussed various bilateral and multilateral issues
அதுதான் உயிரின் அடிப்படை	it is basis of life
இதில் ஏதோ ஒரு பின்னணி இருக்கிறது	there is some background to it
என போலீஸாா் தீவிர விசாரணை நடத்தி வருகின்றனா்	a thorough investigation is being carried out by the police
பொதுமக்கள் இது குறித்து விழிப்புடன் இருக்க வேண்டும் எனத் தெரிவித்தார்	people must be aware of it
அணுமின்சாரம் உற்பத்தி செய்வதற்கு யுரேனியம் மிகவும் முக்கியமான மூலப்பொருளாகும்	ammonia is a key raw material for urea production
ஆனால் இதுவரை எந்தத் தொகையும் வங்கிக் கணக்குக்கு வரவில்லை	however the money never reached the bank
47 கோடி ஊதியம் வாங்கியுள்ளார்	47 crore
தர்பார் படத்தில் ரஜினிகாந்த் போலீஸ் அதிகாரியாக நடிக்கிறார்	darbar stars rajinikanth in the role of a police officer
ரஜினிகாந்தின் இந்த பேச்சுக்கு திராவிடர் இயக்கத்தினர் கடும் எதிர்ப்பு தெரிவித்தனர்	several dravidian parties protested against rajinikanths statement
நாயக சஹாய தூதி கர்ம விமர்ச கூடலுக்குரிய மற்றும் விலக்க வேண்டிய பெண்கள் நண்பர்கள் மற்றும் தூதர்கள்	nayaha shahaya thuthi karma vimarsha sexual woman are the disband for friends and messenger
இந்தியாவுடன் நல்லுறவு நிலவ வேண்டும் என்று நான் விரும்புகிறேன்	i want good relationship with india
76 லட்சம் பணம் சிக்கியது	76 crore
கடின உழைப்பு விடா முயற்சி இருந்தால் எந்த ஒரு சூழ்நிலையையும் எதிர்கொண்டு சாதிக்க முடியும்	with hard work and patience one can achieve anything
மக்களுக்கு சுகாதார நலன் மிகுந்த தரமாகவும் அதே சமயம் எல்லோருக்கும் எளிதில் கிடைக்கும் விதத்திலும் அமைய வேண்டும்	he said healthcare has to be of good quality and it must be affordable
அனுபவித்து கொட்டாவி விடுவீர்	good natured laughter does more than brighten a persons day
இந்த நாட்டில் என்னதான் நடக்கிறது இங்கு சட்டம் என ஒன்று இருக்கிறதா	is there no law left in this country
இவள் எருமைத்தலை உள்ளவள்	she is a bitch
ஆனால் அதைவிட சரியான பதில் இருக்கமுடியாது	but there is no one right answer
இதுதான் நாம் கேட்கும் கேள்வி	this is the question we need to ask
சோர்வு ஒருவருடைய ஆன்மீகத்தையும் பாதிக்கலாம்	people who feel worthless often feel that they can never enjoy a good relationship with god and be blessed by him
அதில் பங்கேற்று வெற்றிகரமாக பல சுற்றுக்கள் முன்னேறினேன்	i have participated in and won many races
நீங்களா	you do you
வீட்ல நான்தான் எல்லாருக்கும் சமைக்கிறேன்	i cook for everyone
அப்டிதான் இருக்கும்	it will be
மும்பை மகாராஷ்டிரா மாநிலத்தில் இன்று காலை பள்ளி குழந்தைகள் சென்ற பேருந்து தீப்பிடித்ததில் 15 குழந்தைகள் படுகாயம் அடைந்தனர்	mumbai school bus catches fire 15 kids injured
அது சில சுவாரஸ்யமாகவே இருக்கும்	itll be interesting
காங்கிரஸ் கூட்டணி 12 இடங்களில் வெற்றி பெறும்	the congress party will win in 12 constituencies
அவ்வாறு பணம் செலுத்த வேண்டிய தேவையில்லை	you wont have to pay
சொந்த மண்ணிலேயே நாங்க அடிமையா இருக்கோம்	we are prisoners in our own country
வெள்ளியின் விலையும் கணிசமாக சரிந்துள்ளது	silver price also decreased
இந்த ஊழல் பணம் எங்கெல்லாம் போனது	where has all that money gone
அத்துடன் பயணங்களையும் இலகுவாக முன்கூட்டியே திட்டமிடவும் முடியும்	you can also plan to go on a journey
ரசிகர்கள் உருக்கம்	fans are curious
குற்றம் சாட்டப்பட்டுள்ள அதிகாரிகள் தண்டிக்கப்பட வேண்டும்	the officers found guilty should be punished
அவருக்கு அஞ்சலிகள்	tributes to him
விண்ணப்பக் கட்டணம் ரூ 250	the application fee is rs 250
என்பது குறித்து முடிவெடுப்பேன்	i will decide
பாஜகவுக்கு இந்த விஷயத்தில் விமர்சனம் செய்ய அருகதை கிடையாது	the bjp has no critique of this by the way
ஒய்வுபணிமிகுதி நேரம் பொருள் இடம்Permissions	freebusy time subject location
ஏற்றுமதிக்கு இந்தியா விதித்த தடை	india banned export
எம் எஸ் தோனி உலகின் மிகச்சிறந்த கிரிக்கெட் வீரர்களில் ஒருவர்	ms dhoni is one of the best review takers in the world cricket
இதுகுறித்து சீதபற்பநல்லூா் போலீஸாா் வழக்குப் பதிந்து செய்து விசாரித்து வருகின்றனா்	the police has registered a case and is investigating into the matter
பெண்களால் பெருமை சேரும்	women are happy
சிவாதான் அந்த நபர் எனத் தெரிந்த பிறகு அவனிடம் ஒரு வார்த்தை கூடப் பேசாது செல்கிறான்	morag later softens towards him after they reach an understanding
த்தனை மணிக்கு துவக்கம்	what time does it start
வீட்டில் அனுஷ்காதான் கேப்டன் விராட் கோலி நெகிழ்சி Anushka Sharma is the captain at home says Virat Kohli	virat kohli says anushka is his captain
உலகக்கோப்பை கிரிக்கெட் தொடருடன் ஓய்வு பெறும் எம் எஸ் தோனி	will ms dhoni retire after the world cup
ப்ப தேவையுமில்லை	there is no need
எனினும் இப்போராட்டம் தோல்வியில் முடிந்தது	however this has failed
குறிஞ்சி ஆண்டவரே	lord almighty
உள்நாட்டு கடன் வளர்ச்சி 138 சதவீதம் வளர்ச்சி	domestic credit growth increased to 138 per cent
அவளைத் திருமணம் செய்யப்போகிறாயா	are you going to marry it
போட்டியில் வென்றோருக்கு பரிசுகள் வழங்கப்பட்டன	the competition winners were given prizes
ஆம் அதில் எந்த ஐயமும் இல்லை என்றாள்	yeah no question about that
யெகோவாவின் சாட்சிகள் சமீபத்தில் உங்களைச் சந்தித்தார்களா	they try to imitate the greatest man jesus christ have jehovahs witnesses called on you lately
வியாபாரத்தில் உங்களுக்கு எதிர்பார்த்த பலன்கள் உண்டாகும்	you are expected to profit in business
அக்கடிதம் விவரம்	details of the post
மனிதனால் செய்ய முடியாததை கடவுளுடைய ராஜ்யம் செய்து முடிக்கும்	gods kingdom will accomplish what man cannot
தப்பிப்பிழைத்த ருவாண்டா நாட்டு சகோதரர்களும் சகோதரிகளும் எவ்வாறு இருந்தனர்	how have the surviving rwandan brothers and sisters fared
காயத்திரி எழுந்தாள்	she woke up
கொல்கத்தா அணிக்கு எதிரான லீக் போட்டியில் சென்னை சூப்பர் கிங்ஸ் அணி கடைசி ஓவரில் த்ரில் வெற்றி பெற்றது	chennai super kings earned a nailbiting victory over kolkata knight riders in their last outing
வாழ்கையை இழந்து	life lost
உங்கள் பணப்பை திரும்ப உங்கள் பையில் வைத்து சார்	put your wallet back in your pocket sir
ஆப்பிள் நிறுவனம் தனது ஐபோன்களை அமெரிக்காவில் வைத்து வடிவமைத்தாலும் அனேகமானவற்றினை சீனாவில் வைத்தே அசெம்பிள் செய்கின்றது	apple manufacture majority of its iphones in china
சில இடங்களில் தொடர் மழை காரணமாக வெள்ளம் ஏற்பட்டு சேதம் ஏற்பட்டுள்ளது	due to rains several areas have been waterlogged
இந்த வீடியோ காட்சிகள் சமூக வலை தளங்களில் பரவி விமர்சனத்திற்கு உள்ளாகி உள்ளது	the video has gone viral and is being shared on social media platforms
i ஏற்றத் தேர்வுகள்	mount options
அவை ஒன்றும் அத்தனை எளிமை இல்லை என்று	they arent easy
வாழைப்பழத்தைவிட அதிக பொட்டாசியம் சத்து கொண்டது உருளை	a zucchini has more potassium than a banana
இதனால் பெரும் சேதம் ஏற்பட்டதாக கூறப்படுகிறது	it reportedly caused extensive damage
என்பது நம்முன் நிற்கும் கேள்வி	this is the question he poses to us
மிளகாய் தக்காளி போட்டு நன்கு வதக்கவும்	stir in tomatoes and garlic
பின்னர் இச்சிலை யாழ்ப்பாண பழைய பூங்காவில் ஒரு அரச மரத்தின் கீழ் வைக்கப்பட்டது	the sinking is caused by a heavy weight placed on the earths surface
சென்னை சென்னை மற்றும் அதன் புறநகர் பகுதிகளில் காலை முதலே பரவலாக கனமழை பெய்து வருகிறது	chennai chennai and suburban areas witnessed mild showers last night
தொடர்ந்து தீவிர விசாரணை நடத்தப்பட்டு வருகிறது	intensive investigations continue
இது பெண்கள் விளையாடும் விளையாட்டாகும்	this is a onewoman play
நத்தை அதனுடைய உடல் எடையைவிட 10 மடங்கு பொருட்களைத் தூக்கிச் செல்லும் ஆற்றல் கொண்டது	ants can carry 10 times their own weight
நான் சொல்வது வேறுமாதிரி	i would say differently
வழி இருக்கிறது	there is a way
யாரா நீங்கள்	are u ready
தண்ணீர் சேர்க்கக்கூடாது	no need to add water
தொடர்ந்து ஈகைச் சுடர் ஏற்றும் நிகழ்வு இடம்பெற்றது	this was followed by a fireworks display
ஏன் அன்னைக்கு அப்படி பேசினேன் என்று	why did you say this
நம்மை ஏமாற்றி விடுவார்	it is cheating us
இங்கிலாந்து அரசு குடும்பத்தில் இருந்து இளவரசர் ஹாரி மனைவியுடன் பிரிந்து செல்வதற்கு ராணி எலிசபெத் ஒப்புதல்	queen elizabeth releases statement on prince harry relinquishing their royal highness
இவர்களது வழியை நாம் அனைவரும் பின்பற்ற வேண்டும் இவ்வாறு கூறினார்	we have to follow their direction he said
அவரிடம் தனிப்படை போலீசார் விசாரணை நடத்தினார்கள்	police interrogated him
எதார்த்தமான கதைக்களம்	actual story
இவைகள் அனைத்தினையும் வைத்து எமது அனுபவங்களை கற்றுக்கொள்ள வேண்டும்	we should learn from these experiences
அரசியல் கட்சிகள்மீது நம்பிக்கை இல்லை	we dont trust such political parties
மேலும் இந்த படத்தில் விஜய்க்கு ஜோடியாக மாளவிகா மோகனன் நடித்து வருகிறார்	besides malavika mohanan plays the female lead
என்னிடம் தந்துவிடுங்கள்	give it to me
பணம் எதுவும் அங்கு இல்லை என்பது தெரிய வந்தது	there was no money
பாஜக தலைமையில் அந்த ஆட்சி அமையும்	it will be a bjp government
மற்ற வார்டுகளில் பணியை மேற்கொள்ள ரூ	the other rs
நான் கடவுளை பார்த்துள்ளேன்	i have seen god
இரகசியக் காப்பு	secret reserve
மரங்கள் அடர்ந்திருந்தன	trees had been uprooted
சிறிதுநேரத்தில் மயங்கி விழுந்த அவர் சம்பவ இடத்திலேயே இறந்தார்	he fell and died on the spot
தினமும் பைபிள் படிக்கத் தொடங்கினான்	i read the bible every day
மோடி சர்க்கரைகள் லிமிடெட்	the modi sugars ltd
மகனும் அப்பாவும்	dad and son
கடலை அச்சுறுத்தும் பிளாஸ்டிக் கழிவுகளை அழிக்கப் பாடுபடுதல்	combating marine plastic debris through bilateral and regional cooperation c
பெற்றோர் சொல்வது என்ன	what will parents say
இவர் தமிழ் மொழியில் மட்டும் இல்லாமல் தெலுங்கு கன்னடம் மலையாளம் என பல மொழி படங்களிலும் நடித்துள்ளார்	not just tamil movies but she has also been a part of malayalam kannada and telugu films
இந்தியன் ஓவர்சீஸ் வங்கி இங்கு அமைந்துள்ளது	there is also the indian bank located there
வாதப் பிரதிவாதங்களும் இடம்பெற்று வருகின்றன	there are contradictions too
அவற்றிலிருந்து மீண்டு வர எது உங்களுக்கு உதவும்	what can help you to get past them
அவரது கண்கள் மீண்டும் கலங்கின	his eyes fell shut again
ஆனா அது ரொம்பக் கஷ்டமான முடிவா இருந்தது	however that was a very difficult catch
அவரை எப்பொழுதும் நினைவு படுத்துபவை	he will be remembered always
வேறு எவரையும் விட மாட்டார்கள்	dont let anyone
ஐரோப்பிய மார்க்கெட்டில் டீசல் எஞ்சினுடன் புதிய சிஆர்வி எஸ்யூவியை ஹோண்டா அறிமுகம் செய்துள்ளது	honda has unveiled the all new crv crossover in europe
பிள்ளைகளின் ஆரோக்கியம் மேம்படும்	childrens health will be better
அவங்க சொன்னதை சரியா செய்தேன்	i did what he told me
150க்கும் விற்கப்பட்டது	more than 150
இதுகுறித்து விழுப்புரம் தாலுகா போலீசாருக்கு தகவல் தெரிவித்தனர்	they alerted the villupuram taluk police station
தனக்குப் பொறுத்தப்பட்ட முகம் யாருடையது	whos the face
போருக்குப் பிற்பட்ட எங்கள் ஊழியம்	our postwar ministry
இவர் இத்தாலி வம்சாவளியைச் சேர்ந்தவர்	he is of italian descent
சந்தேகப்படும் படியான நபர்களின் நடமாட்டம் இருந்தால் உடனடியாக போலீசாருக்கு தகவல் தெரிவிக்க வேண்டும்	the police should be informed immediately if any person aroused suspicion
நாம் கண்டிப்பாக அங்குச் செல்வோம்	we will go there
அவ்வாறு அனுமதிக்க இயலாது	that cannot be allowed
இவர்களுக்கு அயிரா என்ற மகளும் ஒரு மகனும் உள்ளனர்	they have a son akira and daughter aadhya
ஆனால் நிஜம் வேறு	but reality is different
நம்மால் அவர்களை எதிர்கொள்ள முடியாது	we cannot fight with them
என் உடல் எந்நேரமும் மரத்துப் போயிருந்தது இந்நாள் வரை அது சரியாகவில்லை	i walked with a lot of discomfort i still suffer from persistent numbness positive attitude
சரியாக என்று சொல்வது பொருத்தமாக இருக்காது	it is not correct to say that
தங்கள் தீச்சொல்லை என்றான்	their buttress
பொதுமக்கள் அதிர்ச்சி	the crowd was shocked
என்று யோசிப்பேன் ரேச்சல்	ive felt that school was doing me no good and that i would rather be getting paid for my time john
இருவர் படுகாயம் அடைந்துள்ளனர்	two were injured
பிரச்னை என்னவென்று புரிந்து விட்டது	i have understood the problem
அந்த நிலைமைக்கு போகவும் மாட்டேன்	i wont go into that
ஸ்டிக்கர் விற்பனை	stake sale
உடை உடுத்துவது சம்பந்தமாக பைபிளில் இருக்கும் நியமங்களை நாம் பின்பற்ற வேண்டும்	that is so no matter where they live what their culture is or what the climate is
இதில் சிறுவா்கள் இருவரும் பலத்த காயமடைந்தனா்	both the youths were injured severely
தானும் அதில் கலந்து கொண்டார்	he also was part of that
அது இடிஞ்சு விழுந்திடும்	it will fall
8 பேர் உயிர் தப்பினர்	8 children rescued
இந்த வீடியோ வெளியான ஒரு நாளில் ட்விட்டரில் வைரலாகியுள்ளது	the video has gone viral on twitter
இதுதான் நடந்த உண்மை என்று கூறினார்	this is the reality
பொய் பிரசாரத்தை மக்கள் நம்பக் கூடாது	people should not believe in misinformation
விசாரணை முடிந்த பின் தான் அவைகள் வழங்கப்பட்டன	they were later let off after questioning
ஆனால் நான் நிச்சயம் கண்டுபிடித்து விடுவேன்	but i will recognise this
அவரும் மகிழ்ச்சியோடு சம்மதித்தார்	he gladly agreed
ஈ ஆடவில்லை	not kidding
அத்துடன் ஊடகங்களுக்கும் அவர் கருத்து தெரிவித்தார்	he also criticised the media
ஆனாலும் ஜனரஞ்சக அரசியல் வழிகாட்டியாக அவர் இருந்ததில்லை பி ஜே பி அ	but he was also no ordinary political adviser
அவன் அங்கேயே இறந்து விழுந்தான்	he died there
பெற்றோர்கள் கவனத்திற்கு…	attention parents
தவறான தகவல்	wrong information
இந்தியாவில் கரோனா தொற்றால் அதிகமாக பாதிக்கப்பட்ட மாநிலம் மகாராஷ்டிரம் ஆகும்	maharashtra is the worst affected state in india by the pandemic
நானும் மற்றவா்களைப் போல் தான்	im just the same as other people
1940ல் மீண்டும் கைதாகி வேலூர் சிறையில் அடைக்கப்பட்டார்	in year 1940 again he was arrested and lodged invellore central prison
C பிரிவில் பிரான்ஸ் ஆஸ்திரேலியா பெரு டென்மார்க்	group c france australia peru denmark
எந்தப் பணியும் நடக்கவில்லை	nothing was functioning
திகைத்துப் போயிருக்கிறேன்	i am startled
தீர்ப்பு வழு	error of judgement
ஜெயிப்பது யார்	who is the winner
அந்த அரசாங்கத்தின் மதிப்பை  விலையுயர்ந்த ஒரு முத்திற்கு இயேசு ஒப்பிட்டார்	we thank jehovah god for allowing time for yet more of ugandas diverse people to learn about his kingdom
புதிய வேலை வாய்ப்புக்களை பெற்றுக்கொள்ள அதிக அலைச்சல்களை மேற்கொள்வீர்கள்	you will get many new opportunities to work
முதலாவதாக அது திரவமாகிறது முன்னிருந்த நிலைக்கே திரும்புகிறது	you have likely seen water vapor condense in a bathroom when the warm air from a hot shower hits a colder window or mirror
இது கேட்பதற்கு குழப்பத்தை தருவதுபோலத் தோன்றலாம்	this can seem confusing
விரைவில் குற்றவாளிகள் கைது செய்யப்படுவர் என்றனர்	the criminals will be arrested soon
10 லட்சம் பேர் திரண்டனர்	10 lakh people
எதைக்கண்டும் பயப்படக்கூடாது என்பார்	dont be afraid of anything
நினைத்ததைச் சாதிக்க முடியும்	you can achieve what you will
நாங்கள் ஒருவர் மீது ஒருவர் மரியாதை வைத்துள்ளோம் என்றார்	we have respect for each other
அதை அறிவோமா	do you know that
அவரைப்பற்றி அறிந்ததில்லை	i didnt know him
ஒரு சொல் மிச்சமில்லை	there is not a single word
ஆள்வது யார்	who is governing
தி நியூயார்க் டைம்ஸ்	the new york times
அதனை எதற்காக இங்கே வருசையாக நிற்க வைத்தனர்	why did they put it over here
என் மகள் பி எஸ்சி கம்ப்யூட்டர் சயின்ஸ் முதல் வருடம் படிக்கிறாள்	my daughter is studying in the second year of bsc
எப்படி இந்த வாய்ப்பு கிடைத்தது	how did the opportunity come about
இவர் அதே பகுதியில் மளிகை கடை நடத்தி வந்தார்	he was running a shop in the area
ஒரு குறிப்பிட்ட வேளைக்குப் பொருந்தாத சமயத்தில் சக்தி energy விலைகள் உயரே எழுந்தன	at a particularly inopportune moment energy prices took off
ஆனால் அம்மாவுக்கோ ரொம்ப சந்தோஷம்	but im very happy
நிரந்தர நண்பர்களும் பகைவர்களும் இல்லை கலங்கி நிற்கிறது தமிழக அரசியற்களம்	no permanent friends or enemies
மனிதனின் சிறந்த நண்பர்	mans best friend
ஆனால் ஆரம்பித்து சில நாட்களிலேயே படப்பிடிப்பு நிறுத்தப்பட்டது	however the work was ceased after few days of start
இதை தமிழக அரசு நடைமுறைபடுத்த வேண்டும்	this needs to be implemented by the state
பிரதேச வாதம் வேறு	regionalism is different
எங்களால் எங்கு வேண்டுமானாலும் ஜெயிக்க முடியும் என்று குறிப்பிட்டார்	we believe we can win anywhere
தேசிய மாணவர் படை அலுவலகங்களில் லஸ்கர் ஓட்டுநர் மற்றும் இரவு காவலர்கள் காலிப் பணியிடங்கள்	vacancies for the post of lascars drivers and watchmen in ncc
கோடிக்கணக்கான மக்களின் வாழ்க்கையை தலைகீழாக மாற்றியுள்ளது	it has changed the lives of crores of families
ஆனாலும் அவர்கள் அதைச்செய்ய வேண்டியிருந்தது	but they did so
ஆனால் அவர் டாக்டர் அல்ல நோயாளி அதுவும் மதவெறி பிடித்த நோயாளி என்பதை தெரிந்து கொண்டேன் என்றார் பாலபாரதி	but hes not a doctor
தெலுங்குத் திரைப்பட நடிகர் சலம் என்பவரை திருமணம் செய்து கொண்டார்	sharada married telugu actor chalam the couple later divorced
அதில் உனக்கு என்ன கஷ்டம்	what are you annoyed with
இந்த கைப்பேசி ரூ	this attachment worth rs
நிகழ்ச்சி பதிப்பு மற்றும் வெளியேறுவதைக் காட்டு	show the program version and exit
இந்தியா ஆஸ்திரேலியா இலங்கை	india england and australia
இது என் அறைகூவல்	this is my request
என்ன பண்றது	whats what
நகர்த்தல் பணியை ரத்துசெய்வதில் பிழை s	error cancelling migrate job s
நமக்கு விசேஷித்த பொறுப்புகள் கிடைக்கையில் பாவமுள்ள தாழ்ந்த நிலையை மறந்து கர்வம் கொள்ளக்கூடாது	special privileges do not elevate us from our lowly sinful condition
இதுவரை யாரும் கைது செய்யப்படவில்லை என்று அதிகாரிகள் தெரிவித்தனர்	so far nobody has been arrested authorities said
வரும் சட்டப்பேரவை தேர்தலில் தேமுதிக வெற்றி பெறும்	tdp will win the upcoming assembly elections
பிறகு நானும் தூங்கிப் போனேன்	then i fell asleep
புதிய கமுக்க கீற்று	new private tab
28 எலிசா அக்கினி ரதங்களைக் கண்டார் நீங்களும் காண்கிறீர்களா	28 elisha saw fiery chariots do you
அதற்கு இந்த படம் உதாரணமாக இருக்கும்	this one is such an example
இந்திய ராணுவத்தினா் அதற்கு தகுந்த பதிலடி கொடுத்தனா்	indian army gave a befitting reply
மெதுவான பிரதியுத்தரம் உக்கிரத்தை மாற்றும் என்ற வசனம் என் நினைவுக்கு வந்தது	so i said i came here as a friend with a message of good news and i thank you for your restraint
இதில் ஊா் பொதுமக்கள் திரளாக கலந்து கொண்டனா்	people participated in it in large numbers
என்ன தரும் மத்திய அரசு	what will the central government do
என்கிறார் ரகுநாத்	says raghunath
இது வேடிக்கையாக இல்லை	isnt this hilarious
அவர்களது ஆலோசனையில் இரண்டு குறிப்புகள் முதன்மையானவை	the first is to avoid worsening an already difficult situation
இவர் ஒரு கல்லூரியில் படித்து வந்தார்	he was studying in a college
உரித்து மீளப்பெறும் பேராணை	writ of spoliation
சோப்பு கொண்டு கண்களை கழுவக்கூடாது	do not rub your eyes or wash with soap
எச்சரிக்கை இந்தக் காணொளி உங்களுக்கு சங்கடத்தை ஏற்படுத்தலாம்	caution the video can be disturbing
உடம்பு எலும்பளவாய் மெலிகின்றது	the body weakens
காதிரைச்சல் Tinnitus கர்ணநாதம் என்பது வெளியில் சத்தம் இல்லாதபோதும் காதின் உட்புறத்தில் கேட்கும் ஒரு சத்தம் ஆகும்	tinnitus is the hearing of sound when no external sound is present
ஒரு கேள்வியும் கேட்டதில்லை	asked no questions
இதில் 30 பேர் பலியாகிவிட்டனர்	at least 30 persons have been killed
சிறு குறு மற்றும் நடுத்தர தொழிற்சாலைகள் இதனால் பெரிதும் பாதிக்கப்பட்டன	medium small and micro enterprises bore the brunt
அமெரிக்க ஜனாதிபதி டொனால்டு ட்ரம்பிற்கு சிலை வைத்து வழிபடும் தெலுங்கானா விவசாயி வியப்பில் கிராம மக்கள்	a farmer from telangana offers prayers to a statue of us president donald trump
உங்களுடைய சகோதரன் தன் மனக்குறைகளை சொல்லட்டும் அதை கவனமாக கேளுங்கள்	let your brother have his say and listen carefully
அதோடு சிறப்பாக பணியாற்றும் அறிஞர்களுக்கு விருதும் சான்றிதழும் வழங்கப்பட்டன	the meritorious teachers and students were also honoured with certificates and prizes
ஜம்மு காஷ்மீர் எல்லையில் பாகிஸ்தான் ராணுவம் நடத்திய அத்துமீறியத் தாக்குதலில் ராணுவ வீரர் வீரமரணமடைந்தார்	an army jawan was martyred as pakistan violated ceasefire in jammu and kashmir
இரு நாடுகளுக்கும் இடையில் காலங் காலமாக நட்புறவு உண்டு	the two countries have a long standing friendship
மாப்பிள்ளை கதை	marriage story
ஆனால் அதன் பின்னர் மீண்டும் தொடர்ந்து மோதல் வந்தது	but clashes erupted again
செத்து விட்டானா	did ty die
அதைச் சரி செய்ய முடியாதா	cant solve it
அதைப் பத்தி எழுதுங்க	write that
இந்தியாவில் உங்களை வரவேற்பது எங்களுக்குப் பெரும் கவுரவமாக இருக்கும்	it would be great honor for us to welcome you in india
பொங்க விட்டு	letting go
எரிசோடா உற்பத்தியில் பாதரச கலத்திற்கு பதிலாக சவ்வூடு கலம் பயன்படுத்துதல்	adoption of membrane cell process replacing mercury cell process in caustic soda manufacturing
ஆனால் ஆய்வு முடிவில்தான் தெரியவரும் என்றனர்	but things will be clear only after the inquiry he said
ஜி எஸ் டி வரி விதிப்பு மசோதாவாக இருந்த போதே முன்னாள் முதல்வர் ஜெயலலிதா கடுமையாக எதிர்த்தார்	the gst bill was vehemently opposed by late chief minister j jayalalithaa during the upa and nda regimes
அதனைப் பார்த்த மற்ற இரு நீதிபதிகள் சிரித்தனர் என்றார்	two other judges were watching it smiling
இதையடுத்து இருவரும் ஒரே அறையில் தங்கி இருந்தனர்	they lived together in the same room
சிதம்பரம் கேள்வி	chidambarams query
கல்லூரி மாணவியர் விடுதி குறும்பலுார்	college girls hostel kurumbalur
என்னை பொருத்தவரை நான் எனது முழு பங்களிப்பையும் அணிக்கு தர வேண்டுமென விரும்புகிறேன்	i want to play i always give my best for the team
யார் அந்த பெண்	whos that girl
ஓவர்டேக்கிங் கிங்	overthetop king
புல் கூரை கொண்ட அந்த ராஜ்ய மன்றங்கள் மிகவும் எளிமையாக இருந்தன	in the refugee camps of mozambique and zambia we freely attended meetings held in rustic grass roofed kingdom halls
எமது கட்சிக்குள் ஜனநாயகம் இருக்கிறது	theres democracy in our party
40 ஆயிரம் கேட்டார்	40 thousand
அந்தப் புகாரில் தன் மகன் 18 வயது பூர்த்தியாகாத சிறுவன்	his eldest is his 18yearold son
நமக்கு நல்லதுதானே	are we good
அதுதான் அவர்களுடைய செயல்தந்திரம் தொலைநோக்குத் திட்டம்	this is their strategy
