வைத்தியர்கள் வரப்போகின்றனர்	doctors dont come
இதன் காரணமாகவே நடவடிக்கையில் சற்று தாமதம் ஏற்படுகிறது என்று விளக்கம் தெரிவித்தார்	thats why the work has been delayed a bit he said
பெற்றோர்தான் முடிவெடுக்க வேண்டும்	it is upto parents to take a decision
19 மற்றும் அடிக்குறிப்பு	for what purpose have the other sheep been molded
அவ்வளவு மட்டுமே சொல்ல முடிகிறது	thats all i can say
அதன்பின் விக்கெட்டுகள் சீரான இடைவெளியில் சரிந்தன	after that wickets fell at regular intervals
அவளின் சொந்த பந்தமும் கூட இல்லை	she not have her own game
பின்னர் சென்னை சட்டக் கல்லூரியில் சட்ட இளங்கலைப் பட்டம் பெற்றார்	later he graduated with degree in law from madras law college chennai then affiliated to the same university
என்ன நடக்கிறது என்பதைப் பார்க்கத்தான்	see whats happening
மாநகரம் கைதி படங்களின் இயக்குனர் லோகேஷ் கனகராஜ் இந்த படத்தை இயக்க இருக்கிறார்	the film is directed by lokesh kanagaraj
சினிமா எனது துறை	cinema is my passion
இல்லாவிடின் இது ஓர் தவறான முன் உதாரணமாக அமைந்துவிடும் என்றார்	it would have set a wrong precedent otherwise
1 யாக்ளின் ஜெர்மனி	1 jaqueline from germany
ஆனால் சினிமா இசையில் அவ்வளவாக தோச்சி பெறாதவர்	but it is not the same with nonfilm music
அதன் பின் இந்த வீடியோ இணையத்தில் வைரலானதால் இது தொடர்பாக பொலிசார் விசாரணை மேற்கொண்டு வருகின்றனர்	after the video surfaced online the police started investigating the case
வருடப்படுகிறது 1	scanning 1
தமிழ்நாடு அரசு பன்னோக்கு உயர் சிறப்பு மருத்துவமனை ஓமந்தூரார் அரசினர் தோட்டம் சென்னை	n government multi super speciality hospital omandurar estate chennai
S ல் இருந்து உங்கள் முகப்புப் பக்கத்தை இறக்குமதி செய்	import your home page from s
என்று நீங்கள் கேட்கலாம்	you might ask
பிற பின்தங்கிய வர்க்க கமிஷன்	other backward class commission
தை மாட்டி விட்டு போகிறோம் என்றனர்	well shut it down
மிக எளிமையானவை	very simple
பாத்திரத்தில் தண்ணீருடன் வல்லாரை கீரை வெந்தயம் கற்கண்டு சேர்த்து கொதிக்கவிடவும்	in a bowl add warm water salt turmeric and mustard powder
பெண்கள் மதிக்கப்பட வேண்டும் அவர்களை போற்ற வேண்டும்	women are to be respected
செய்முறை துவரம்பருப்பை குழைவாக வேகவைக்கவும்	method boil the coconut milk
நீதிபதி கேள்வி கேட்கிறார்	the judge asked
ங்க தங்கப் போறீங்க	where will you be staying
இவை 12 அவுன்சு அளவுள்ள சிறிய புறா வகையாகும்	there are also twelve other minor candidates
என்னை சந்திக்க வேண்டும் என்றார்	he said i should meet him
ஆனால் நான் நிச்சயம் கண்டுபிடித்து விடுவேன்	but i will recognise this
வகுப்புத்தடை விதிக்கப்பட்ட மாணவர்கள்	quota students
மேலும் இரண்டு பேரை போலீசார் தேடி வருகின்றனர்	police are looking for the two men
எப்படிச் சொல்றே	how do you mean
இதையடுத்து அருகிலுள்ள மருத்துவமனைக்கு சென்ற அவருக்கு தீவிர சிகிச்சை அளிக்கப்பட்டு வருகிறது	he was rushed to a nearby hospital and is undergoing treatment
அவற்றை ஒவ்வொன்றாக இங்கு பார்க்கலாம்	you can see these here
கட்டுரையை திருத்து	edit article
அதற்கிடையே ப	meanwhile pt
இரு தலைவர்களும் பல்வேறு இருதரப்பு மற்றும் சர்வதேச பிரச்சினைகள் குறித்து விவாதித்தனர்	the two leaders discussed various bilateral and multilateral issues
என்று கேட்கிறார் அவர்	he asks
இந்தப் படம் மிகப் பெரிய அளவில் மக்கள் மத்தியில் நல்ல வரவேற்ப்பை பெற்றிருந்தது	the film was well received by the crowd
உங்கள் பார்வையில் பார்க்கும் பொருள் மட்டுமே உண்மை	its exactly what you see
வரை பட்டியல் பெட்டி	draw in rgb
இவற்றுக்கு பார்வையாளர்கள் மத்தியில் நல்ல வரவேற்பு கிடைத்தது	it was well received by the audience
தமிழகக் காவல்துறையும் அவர்களைக் கைது செய்தது	they too were arrested by the police
விபத்தில் 27 பேர் காயமடைந்தனர்	at least 27 people were injured in the accident
எனவே பாதிக்கப்பட்ட விவசாயிக ளுக்கு உரிய நிவாரணத் தொகை வழங்க வேண்டும்	suitable compensation should be given to the affected farmers
இந்திய தரப்பில் பும்ரா சாஹல் குல்தீப் யாதவ் தலா மூன்று விக்கெட்டுக்களை வீழ்த்தினர்	for india bumrah chahal and kuldeep took two wickets each
இது நியாயமான ஒன்றல்ல	that isnt fair
மாறாக அப்பிரச்சினையை சரியாக சீர்தூக்கிப் பார்ப்பதற்கு நமக்கு உதவுவார்	instead he will help us to view the trial properly
இதுவே காங்கிரஸின் தோல்விக்குக் காரணம் என்று கூறினார்	it is on account of the failure of the congress he said
நான் உள்ளதை உள்ளபடிச் சொன்னேன்	i said what i had to
நம்புகிறேன் என்றார்	i hope
பராத்தா என்கிற வார்த்தை சமஸ்கிருதத்தில் இருந்து வந்தது	the word prana is derived from sanskrit
மாறாக அவர்களுக்குப் பிரகாசமான எதிர்காலம் இருக்கிறது	there can be no question about it then that all the efforts people make to help the dead run contrary to bible teachings
எங்களுக்கும் ஒரு விஷயமும் தெரியலை	we dont know anything
தமிழ் தெலுங்கு இந்தி மொழிகளில் இந்தப் படம் வெளியாக இருக்கிறது	the film is being released in telugu hindi and tamil languages
இந்த ஏரியா ரொம்பவும் நல்லாயிருக்கு வளர்	this area has become so polluted
இவையெல்லாம் அறிவு சார்ந்த விஷயங்கள்	this is all knowledge
தமிழகத்தில் காங்கிரஸ் கட்சிக்கு எதிர்காலம் இல்லை	trs party have no future in telangana
ஆனால் களமிறங்கும் அணியில் அவருக்கு இதுவரை வாய்ப்பு கிடைக்கவில்லை	however he did not enter the field of play
அவர் தொடர்ந்து சிகிச்சையில் இருக்கிறார்	he continues to be under treatment
சரமாரியாக கல்வீச்சு சம்பவங்களும் நடந்தன	there were stray incidents of violence
இத்திட்டத்தின் கீழ் 163 நபர்களுக்கு பத்திரிகையாளர் ஓய்வூதியம் வழங்கப்பட்டு வருகிறது	so far the enhanced pension has been given to 163 journalists
இந்த பணியில் 150 ஊழியர்கள் ஈடுபட்டுள்ளனர்	around 150 people have been employed
அனைத்து விவகாரங்கள் குறித்தும் மோடியிடம் விவாதிக்க விரும்பியதாகக் கூறினார்	pm narendra modi said we want discussion on all issues
ஆயினும் இது முதல்கட்டமாகவே உள்ளது	however thats just the first step
பல குடிநீா் இணைப்புகள் பழுதடைந்து உடைந்துள்ளதால் குடிநீருடன் கழிவுநீா் கலக்கிறது	as many of the pipelines are damaged and leaking water gets contaminated due to dumping of garbage
அம்மா என்கிற முறையில் மனோரமா எப்படி	how do you feel being a mom
இந்தியா முழுவதும் குடிமக்கள் பதிவேடு கொண்டு வரப்படும் அமித் ஷா	amit shah national register of citizens will be implemented nationwide
நாம் இருவரும் சாப்பிடலாம்	are we eating together
மோசமான விமான சேவை ஏர் இந்தியாவுக்கு மூன்றாமிடம்	air india third worst in punctuality report
வித்தியாசங்கள் ஏதும் இல்லை	theres no difference
என்பதை நினைவில் கொள்ள வேண்டும்	remember it
அவர்கள் மீண்டும் காதலிக்கின்றனர்	they fall in love again
நம் அன்பான அரசர் கிறிஸ்து ஆட்சி செய்யும்போது நீதியுள்ள மனிதர்கள் இந்தப் பூமியை அழகிய பூஞ்சோலையாக மாற்றுவார்கள்	under christs loving rulership righteous humans will turn the earth into a paradise
பிறந்த நாள் பரிசு	birthday gift
மோடிக்கு எதிரான போராட்டம்	combating modi
அவனுக்கே இதெல்லாம் வியப்பாகவும் இருந்தது	it was all surprise
அவர் மீது சட்டப்பூர்வ நட வடிக்கை எடுக்க வேண்டும்	legal action should be taken against him
முதலீடுகளில் கவனம்	focusing investment
சாலைப் பயணங்களை ரசிக்க முடிஞ்சது	road trips are fun
னவேதனை அளிக்கிறது	its hurting
ஆனால் கோல் ஆக்க முடியவில்லை	but failed to score
அதன் பின்னர் அந்த நீரை வெளியேற்றினர்	then throw this water away
இந்த ப்ரைம் திட்டத்தில் சேராதவர்களுக்கு கட்டணமானது ரூ	the fee for the programme is rs
இவர் கடந்த சில மாதங்களாக சிறுநீரக நோயினால் அவதிப்பட்டு வந்தார்	she had been suffering from kidney problem for the past several months
இதனால் வாகனங்கள் செல்ல சிரமப்படுகின்றன	this has made it difficult for vehicles to move
வைத்தியசாலை	the hospital
ஆனால் அந்த செய்தி பொய்யானது என மத்திய அரசு தெரிவித்துள்ளது	however the government and the indian army have called this media report fake
இது தாங்க முடியாத சுமை	it is an improbably heavy burden
உள் அனுமதி திரையில் விரும்பிய படத்தை பயன்படுத்தவும்	preferred image to use for login splash screen
ஒரு சிறிய மேலும் தோழர்களே	a little further guys
இரண்டு பெண்களுக்கும் திருமணம் ஆகிவிட்டது	two women have been killed
அவர்கள் எதையும் முன்வைப்பதில்லை	they arent taking anything
நாம் யாரும் கட்சி பேதம் பேச தேவையில்லை	we dont want to speak to any of the parties
Home உலகம் வெளியானது மகிழ்ச்சியான நாடுகள் விரிப்பு	home world news cheers
ஆனால் சில இயந்திரக்கோளாறு காரணமாக தடங்கல் ஏற்பட்டது	but due to some problems it was stopped
இவை அனைத்துமே விசேஷமானவை	all this is extraordinary
கண் மலர்ந்த பிணம்	a corpse comes to life
தனித்தே போட்டியிடலாம்	to contest independently
கூகுள் நிறுவனம் Gmailஇல் அறிமுகம் செய்யும் புதிய வசதி	gmail offers new featuresgoogle
ஊரடங்கு காரணமாக பால் 2025 குறைந்துள்ளது	during the lockdown period the demand for milk reduced by 2025
யார் இந்த திலகர்	who is this fella
அப்போது அவரை கட்டி அணைத்து பிரதமர் நரேந்திர மோடி ஆறுதல் கூறினார்	he was later greeted by prime minister narendra modi
எம் அனைவருக்கும் தனியான அரசியல் உள்ளது	each of them has their own politics
அவற்றில் சிலவற்றை இந்த கட்டுரையில் காண்போம்	we will check some of these in this article
ஒவ்வொரு ஆட்டத்திலும் சிறந்த ஆட்டக்காரா் விருது வழங்கப்படும்	a man of the match award will be given in each match
நான் இப்படி நினைக்கிறேன்	thats how i think
அவரால் அதைச் செய்ய முடியாது	he cant do that
பிறகு வெங்காயம் துவரம் பருப்பு மிளகாய் தூள் மாங்காய் தூள் சேர்த்துப் பிசையவும்	then add the chilli powder garam masala powder black pepper powder and turmeric powder
இவரின் அடிப்படை விலையாக ரூ	his base price is rs 2 crore
இன்னைக்கு ஸ்கூல் போகணுமா	go to school
அமைச்சரவை தீர்மானங்களை அறிவிக்கும் ஊடகவியலாளர் சந்திப்பிலேயே அவர் இதனை தெரிவித்தார்	he said this at a press meet convened to explain the cabinet decisions
ஒரு சிறுத்தை வீடு ஒரு பைதான் வீடு பறவை கூண்டு மற்றும் ஒரு ஆமை மீட்பு உள்ளீடு ஆகியவையும் உள்ளன	there are also a leopard house a python house aviary a tortoise rescue entre
என்னால் ஆட்சி கவிழாது	i am not surprised
முளை கட்டிய உணவுப் பொருட்கள்	fried food items
மக்களை குழப்ப வேண்டாம்	dont point at people
20 புடலை ரூ	20 tral rs
ஏற்கனவே வங்கி கணக்கில் இருந்து ரூ	already rs
இன்னும்கூட சிகிச்சை தொடர்கிறது	treatment is going on
துப்பாக்கிகளைக் காட்டி எங்களை மிரட்டினர்	they threatened to shoot us
ஆனால் அவர் எவ்வளவு வேகமாக உயர்ந்தாரோ அவ்வளவு வேகமாக வீழ்ச்சியும் வந்துள்ளது	but as swiftly as it ran up it fell even faster
இது பாஜக பெற்றுள்ள வாக்குகளை விட அதிகமாகும்	this is incidentally higher than the bjp s vote share percentage
கால்வாயில் விழுந்து இறந்த மாணவனின் உடல் மீட்பு	body of student recovered from river
முப்பது நாட்களுக்கு பிறகு என்னை விசாரித்து விடுதலை செய்தனர்	once again she refused to abandon me margaritha has always been a very loyal companion
தவிர்க்க முடியாத பயணம் அமையும்	a journey that cant be missed
உணவு இன்ஸ்பெக்டர் என சுகாதார இன்ஸ்பெக்டர்	sanitary inspector as food inspector
அப்போதும் என்னால் போக முடியவில்லை	i couldnt even walk then
இந்த முடிவுக்கு நீங்கள் வர எது ஆதாரமாக இருந்தது	what led you to this conclusion
சக்திவாய்ந்த எலக்ட்ரிக் கார்களை அறிமுகப்படுத்த மஹிந்திரா ரேவா ஆயத்தமாகி வருகிறது	mahindra will start offering a more powerful version of reva e2o in europe soon reports autocarindia
மேலும் வைப்புத் தொகையாக ரூ	a further amount of rs
என்பது போல பேசினார்	he spoke as
அதில் அம்ருதவர்ஷிணி இல்லை	there is no rancour in it
வட்டி குறைவாக இருக்கும்	lower interest rates
எச்சரிக்கையாய் இருங்க	be careful
யார் அந்த அரசியல் பிரபலம்	whos the politician
தற்போது இந்தியா	currently in india
வாழைப்பழங்களில் அதிக அளவில் பொட்டாசியம் மற்றும் நார்ச்சத்து நிறைந்த உள்ளது	bananas are high in fibre and potassium
ஒருமுறை தான்	only once
அனுராக் தாகூர் நிதி கார்ப்பரேட் துறை	anurag thakur mos finance and corporate affairs
கொங்கு மண்டலத்தை சேர்ந்த திமுக நிர்வாகிகள் தொண்டர்கள் எல்லோரும் இந்த பேரணியில் கலந்து கொள்கிறார்கள்	dmk cadres and party functionaries from various districts are also participating in the fast
பீதியடைந்த மக்கள் பாதுகாப்பான இடங்களுக்கு சென்றனர்	people have shifted to safer places
நான் எதிர்க்கவில்லை	i am not tempted
வெற்றி பெற்ற மாணவர்களை தாளாளர் பள்ளி நிறுவனர் பள்ளி முதல்வர் ஆசிரியர்கள் மற்றும் பெற்றோர்கள் பரிசு வழங்கி பாராட்டினர்	the school principal chairman teachers and parents congratulated the qualifiers
அட கடவுளே	oh my god
எனக்கு யார் மீதும் எந்த வருத்தமும் இல்லை	i am not unhappy with anybody
மேலும் உரம் போன்ற உள்ளீடுகளின் விலையும் அதிகரித்துள்ளது	fertiliser prices have also risen
கார் விபத்தில் தமிழகத்தை சேர்ந்த 4 பேர் பலி	4 killed in carbus collision in tamil nadu
யாரையும் பகைத்துக் கொள்ளா தீர்கள்	never envy anybody
வரிந்து கட்டும் எதிர்க்கட்சிகள் கலக்கத்தில் பா ஜ க	opposition parties bjp spar over demonetisation
கோவாவிலும் இதே நிலைதான் நீடிக்கிறது	similar is the case with goa
புனே மெட்ரோ திட்டம் பகுதி1 க்கு பிரதமர் அடிக்கல் நாட்டினார்	pm lays foundation stone of pune metro project phase1
ஆஸ்திரேலியாவில் பேஸில் ட்சாடாஸும் அவருடைய மனைவி ஃபைலஸும்	basil tsatos and his wife phyllis in australia
ஆனால் நாம் பிரசங்கிக்கிற செய்தி மதிப்புள்ள ஒரு பொக்கிஷம் போல் இருக்கிறது	he described the ministry of the new covenant as a treasure in earthen vessels
அப்பதான் கெட்ட ஆசையை எதிர்க்கிறது உங்களுக்கு ஈஸியா இருக்கும்	avoid circumstances that will make temptation harder to resist for example
விபத்து நேரிட்ட இடத்தில் மீட்பு பணிகள் தொடர்ந்து நடைபெற்று வருகின்றன	rescue operations are currently underway at the site of the accident
இது உண்மையில் வேடிக்கையாக இருக்கிறது	this is indeed funny
என்றும் அவர் குறிப்பிட்டு உள்ளார்	he also stated that
இஸ்லாம் மதத்தையும் புத்த மதத்தையும்கூட நான் ஆராய்ந்தேன்	again i began attending religious services such as those of pentecostals and adventists i even examined islam and buddhism
அனைவருக்கும் தம்மை அழகாகவும் இளமையாகவும் காட்டிக் கொள்ள விருப்பம் இருக்கும்	every woman wants to look young and beautiful
மருத்துவ பரிசோதனைகள்	medical test
28 எலிசா அக்கினி ரதங்களைக் கண்டார் நீங்களும் காண்கிறீர்களா	28 elisha saw fiery chariots do you
நீங்கள் எதாவது தகவல் அனுப்ப விரும்பினாலும் நான் அதை Cooperடம் சேர்ப்பேன்	if you record any messages i can get them to transmit it to cooper
மறுபடியும் அனுராதா	unadkat again
குமரப்பிள்ளை குளிர்ந்தான்	the chamber is cold
இது குறித்து அவர் மேலும் தெரிவிக்கையில் –	further he said
இன்னும் கொஞ்சம் விளக்கமாகச் சொல்ல முடியுமா	could you elaborate al little more on that
இது பெரிய கலவரமாக மாறியது	this caused a huge ruckus
பிவிஜிராஜு	pvg raju
பாடுவது இவருக்கு ரொம்ப பிடிக்குமாம்	she also loves to sing
அவன் காவல்மாடம் வரை சென்றான்	he went in the police post
எந்று கேள்வி எழுப்பப்பட்டது	what a question
அவர் ரயிலில் வந்தார்	he was on the train
மிகவும் கெட்டியானால் தண்ணீர் சேர்த்துக் கிளறவும்	if its too thick sprinkle water
எடுத்த காரியங்களை வெற்றிகரமாக முடிக்கும் ஆற்றலும் திறனும் பெறுவீர்கள்	you will have the stamina and the energy to get your tasks completed
அதை மோடி மறக்கக்கூடாது	you modi should never forget that
விண்ணப்பக் கட்டணம் ரூ 250	the application fee is rs 250
ஆனால் அவரது கோரிக்கையை சபாநாயகர் திட்டவட்டமாக நிராகரித்து விட்டார்	however the speaker rejected their demands
இரத்த வாந்தி	blood clot
அதற்கான தேவையும் அப்போது ஏற்படவில்லை	there was no need for that
பொதுச்செயலாளர் என்பது ஜெயலலிதாதான்	jayalalithaa is chief minister
நாங்கள் ஹீரோக்கள் இல்லை என்று நெகிழ்ச்சியாக கூறினார்	we are not heroes
ஆயுஷ் அமைச்சகத்தின் ஆண்டு இறுதி அறிக்கை 2020	year end review 2020 ministry of steel
பாதை sஐ அழிக்கிறது	deleting path s
இதனால் பதறிப் போன கிராம மக்கள் இது குறித்து போலீசாருக்கு தகவல் அளித்தனர்	the villagers reported the matter to the police
காதலித்து வந்தனர்	they were in love
குடும்பத்தில் ஒருவருக்கு வேலைவாய்ப்பு அளிப்போம்	we will give job to one of their family member
வரவிருக்கும் மிகுந்த உபத்திரவத்தை இயேசு எப்படி விவரித்தார்	the end of this wicked system will come in what is called the great tribulation
இந்த நிலை எவ்வாறு ஏற்பட்டது என்று தெரியவில்லை	i dont know how this happened
மக்கள் மனதில் மாற்றம் வேண்டும்	people need to change
தென் ஆசியா பற்றியும் இந்தியப் பெருங்கடல் பற்றியும் ஆய்வுகள் செய்தவர்	his fields of study are south asian and indian ocean history
உயிர்த்தெழுந்து வரும் துணையோடு பூஞ்சோலை பூமியில் மீண்டும் சேர்ந்து வாழ அவர் ஆசைப்படலாம்	such ones may yearn to be reunited in marriage with their resurrected spouse in the new world
நடப்பு ஆண்டில் தமிழ்நாடு திறந்தவெளிப் பல்கலைக் கழகம் பணிகளைத் தொடங்கியுள்ளது	the tamil nadu open university has also commenced work in the current year
23 உயர்த்தப்பட்டு ரூ	23 and rs
அவ்வாறு எடுத்துச் செல்வதும் பொருத்தமான செயற்பாடு அல்ல	thats not the right thing to do
இன்னும் இந்த கேள்வி ஓய்ந்த பாடில்லை	this question has not been answered yet
இயேசு தம்முடைய 70 சீடர்களை இரண்டிரண்டு பேராக ஊழியத்திற்கு அனுப்பினார்	when jesus sent out the 70 disciples he did so by twos
இயக்குனர் ஏ வெங்கடேஷ் பொதுவாக கொஞ்சம் வேகமான ஆள்	director a venkatesh generally works at a fast pace
மேலும் பலியான மாணவனின் உடல் பிரேத பரிசோதனைக்காக அனுப்பி வைக்கப்பட்டது	the victims body has also been sent for the postmortem examination
இந்தியா சகல துறைகளிலும் வளர்ச்சிபெற்று வருகிறது	india is moving fast in every field
அதைதொடர்ந்து கோயிலுக்கு வரும் பக்தர்களின் எண்ணிக்கை நாளுக்குநாள் அதிகரித்து வருகிறது	the number of devotees visiting the temple has been increasing
இதன் வேகம் எதிர்பார்த்த அளவிற்கு இல்லை	its not yet happened at the speed it was expected
இந்திய பங்குச்சந்தைகள் பலத்த அடிவாங்கியுள்ளன	indias stock markets are in rapture
பூனைக்கு மணிகட்டுவது யார்	whos to bell the cat
காலிறுதியில் அது ஜெர்மனியை சந்திக்கிறது	spain joins germany in the semifinals
ஓரோந்நுக்கும் அதுக்குண்டான நேரம் காலம் உண்டுல்லா	is there a timeframe for it
இது தொடர்பான அரசாணையை ரத்து செய்ய வேண்டும்	that order has to be revoked
கருப்பையின் மீதுள்ள சவ்வில் விபரீதமான வளர்ச்சியை ஏற்படுத்துகிறது	rigorous exercise has been recommended by a number of doctors dr
இந்தக் கேள்வி அமெரிக்காவுக்கு அவமானத்தை மாத்திரம் கொடுக்கவில்லை	this isnt just an issue for the us
பொருளாதார வளர்ச்சிக்குப் புதிய வேகம் தருவதில் மின் துறையின் பங்கை பிரதமர் கோடிட்டுக் காட்டினார்	pm underlined the significance of the power sector in propelling the economy
அதற்கு சிகிச்சையும் தேவை இல்லை	no treatment is necessary
தீ விபத்திற்கான காரணம் உடனடியாக தெரியவில்லை	the cause of the fire is not immediately known
கேரள சிபிஎம் தலைவர் மகன் மீதான பாலியல் புகாரில் வழக்குப்பதிவு	mumbai police register rape cheating case against son of kerala cpm leader
விக்னேஷ் சிவனின் அடுத்த படத்தை தயாரிக்கும் நயன்தாரா	vignesh shivn to produce nayantaras next flick
ஃபேஸ்புக்னா என்னது	whats facebook
தினமும் இரண்டரை முதல் மூன்று லிட்டர் தண்ணீர் அருந்துவது நல்லது	drink at least two to three litres of water daily
அதனால் நீங்கள் எப்படி உணருகிறீர்கள் என்பதை அவரிடம் சொல்லுங்கள்	many patients have found that this gives them more confidence perhaps you fear being scolded
செய்யாது	will not do
நாட்டின் வளா்ச்சிக்காக அனைவரும் ஒன்றிணைந்து செயல்பட வேண்டும்	all should work unitedly to make the state healthy
எனவே அவர்கள் கலகம் செய்யாமல் தமக்குக் கீழ்ப்பட்டு நடப்பார்கள் என்று கடவுள் எதிர்பார்த்தது நியாயம்தானே	he had amply provided for them and had equipped them well
ஆனால் சிலர் …	but some
இது அரிதாகவே இடம்பெறுகிறது	this rarely occurs
அவள் கூறுவது சரிதான்	she is right
என் மனைவி மீராவும் நானும் மகிழ்ச்சியாக உள்ளோம்	my wife and mother are happy
வெறுமனே தூக்குவிசையின் மூலமாகவே	when the plane hurtles down the runway the air rushes over and under the curved wings
4 கோடி செலவு செய்துள்ளது தெரிய வந்துள்ளது	4 crore
முகப்பவுடரால் புற்று நோய் 417 மில்லியன் டாலர் இழப்பீடு வழங்க ஜான்சன் ஜான்சனுக்கு உத்தரவு BBC News தமிழ்	johnson johnson ordered to pay 417 million to woman who got cancer from talc
அவனுக்கு உரிமைகள் இருக்கிறது	he has that right
இரவின் மீதும் சத்தியமாக அது பின்னோக்கிச் செல்லும் பொழுது	and the night when it withdraweth
பின் நீரில் முகத்தை கழுவவும்	afterwards wash your face with water
ஆனால் அதுவே படைப்பின் உயிர்	but this is life
சிசிடிவி கேமராக்களை பொருத்த வேண்டும்	there should be cctv cameras
பட்டு நூற்பு மற்றும் முறுக்கேற்றும் அலகு	silk reeling spinning components
காளைகள் சீறிப்பாயும்	the roosters crow
ஜனநாயக நெறிக்கு உட்பட்டு அமைதி வழியில் தீர்வு காண இருதரப்பினரும் முயல வேண்டும் என்று பதிவிட்டுள்ளார்	both sides should attempt to find a solution within democratic norms he said
சம்பவ இடத்திற்குச் சென்ற போக்குவரத்துப் பொலிசார் விபத்து தொடர்பான மேலதிக விசாரணைகளை மேற்கொண்டு வருகின்றார்கள்	police investigations into the accident are ongoing
கண்ணாடி ஜன்னல்கள் அடித்து நொறுக்கப்பட்டன	the glass windows were smashed
செல்போனிலும் லைன் கிடைக்கவில்லை	there is no landline telephone
சென்னையில் ஐபிஎல் போட்டிகளா	no ipl in chennai
அப்போது திடீரென வேன்	then suddenly
பின் ஏலக்காய்த்தூள் சர்க்கரை குங்குமப்பூவை சேர்த்து கிளறவும்	later add coconut sugar and cardamom
நடிகை தற்கொலை செய்த வீட்டில் ஷூட்டிங் நடத்திய கதாநாயகி	film actress commits suicide
ஊழியர்கள் வேலை நிறுத்தத்தால் வங்கிச் சேவைகள் முற்றிலும் பாதிப்பு	bank services hit as staff goes on strike
ஆனால் அதன் நன்மைகளை அறீவீர்களா	but arent you benefiting from it
அல்லாஹ்வின் தூதர் ஸல் அவர்கள் கூறினார்கள்	the messenger of allah saww declared
இதையடுத்து அவா்களுக்கு ஜாமீன் வழங்கப்பட்டது	they were subsequently granted bail
சுரப்பிக் கோளாறுகள்	kidney disorders
ஏன் வதந்திகளை பரப்புகிறீர்கள்	why are you spreading rumours
இவர்களுக்கு மூன்று பிள்ளைகள்	they have three kids
ஆளும் கூட்டணிக்குள் ஏற்கனவே அதிக அளவுள்ள பிளவுகளை இந்தப் பொருளாதார அழுத்தம் மேலும் கூடுதலாக ஆக்கியுள்ளது	the economic pressure has already exacerbated divisions within the ruling coalition
இவைகள் அனைத்தினையும் வைத்து எமது அனுபவங்களை கற்றுக்கொள்ள வேண்டும்	we should learn from these experiences
அதெல்லாம் எனக்கு ஞாபகமில்லை	i dont remember that
மேலும் அமெரிக்காவின் தாக்குதலுக்கு பாகிஸ்தானிடம் ஆதரவு கோர வேண்டும் என்றார் அவர்	pakistan also asked for us support on the matter he added
நீங்கள் சப்மிட் செய்து முடித்து விட்டீர்கள் எனில் உங்களது மொபைல் எண்ணுக்கு ஒரு மெசேஜ் வரும்	once done you will get a successful message on your registered mobile number
ராஜபார்ட் ரஜினிகாந்த்	superstar rajinikanth
இருவரும் ஆட்டோவில் திருமங்கலம் சென்றனர்	the two were travelling by car
இந்த மாநாடு 2005 இல் இருந்து தொடர்ச்சியாக நடைபெற்று வருகிறது	this proportion had remained approximately stable since 2005
பெரும்பாலானோர் அறிகுறி இல்லாமல் உள்ளனர்	most had no symptoms
மறுபுத்தில் அடுத்த ஆண்டு புதிய ஹூண்டாய் வெர்னா காரும் அறிமுகம் செய்யப்பட இருக்கிறது	next generation hyundai verna will hit indian market in mid2017
அவர்கள் வேலாயுதத்தை கைது செய்து காவல் நிலையத்திற்குக் கொண்டுச் சென்றனர்	they were arrested and taken to police station
அதுக்கெல்லாம் நாம பதில் சொல்லிட்டு இருக்க முடியுமா	can you answer that
இது நாட்டின் தூர மேற்கில் உள்ளது	it is in the north of the country
கடன் பொறுப்புக் கணக்கு	liability account
இதற்குப் பொதுவெளியில் கடும் எதிர்ப்புகள் எழுந்தன	this sparked off public protests
அவளுக்கு என்ன நடந்தது	what happened with her
தெலுங்கில் அப்கிநேத்ரி என்றும் ஹிந்தியில் டூடக் டூடக் டூட்டியா என்றும் அப்படம் வெளியானது	the film was dubbed and released in tamil as pappa and in hindi as aaj ka deviputra
மேலும் இவருடைய நகைச்சுவை நடிப்பு மிகவும் பாராட்டும் விதமாக இதில் இருந்தது	his comedy acting was also great
இயற் வாழிடச்சூழலில் வரிக்குதிரை மீன் சுமார் நாற்பத்திரண்டு மாதங்கள் வாழ்கிறது	in captivity zebrafish live approximately fortytwo months
அதன் பெயர் சிஸ்ஸி	her name is suzi
ஆமா என்று பதிலளித்தார் அவர்	finally scott said you must be one of jehovahs witnesses
இதனால் சந்தேகமடைந்த அவர் காவல் நிலையத்தில் புகார் அளித்துள்ளார்	he has made a complaint to the police in this regard
இதற்காக அவர் பயன்படுத்திய காரையும் போலீசார் பறிமுதல் செய்து உள்ளனர்	her car has also been seized by the police
இவரோடு விவசாய அமைச்சர் பொ	the agriculture minister
தொப்புள் குடலிறக்கம் என்றால் என்ன	what is strep throat
பல சமயங்களில் கடும் சோதனைகளையும் சமாளித்து நின்றார்கள்	their sterling examples encourage loyal christians today
பதிலடி கொடுப்பதற்கு மாறாக நீங்கள் ஏன் இயேசு செய்ததைப் போல் செய்யக்கூடாது	instead of retaliating can you imitate jesus who when being reviled did not go reviling in return
அது ஒரு துளி நீர்தான்	is one drop of water
